# Coordinated beginning of month and monthly mean lakewide average water levels for Lake Erie
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
1968,2,174.15,174.2
1968,3,174.15,174.18
1968,4,174.24,174.27
1968,5,174.25,174.29
1968,6,174.35,174.34
1968,7,174.38,174.36
1968,8,174.33,174.32
1968,9,174.26,174.23
1968,10,174.15,174.08
1968,11,174.04,174.03
1968,12,174.07,174.05
1969,1,174.12,174.09
1969,2,174.18,174.23
1969,3,174.21,174.21
1969,4,174.22,174.38
1969,5,174.47,174.55
1969,6,174.6,174.62
1969,7,174.63,174.69
1969,8,174.7,174.63
1969,9,174.55,174.48
1969,10,174.41,174.32
1969,11,174.24,174.24
1969,12,174.22,174.24
1970,1,174.21,174.11
1970,2,174.04,174.08
1970,3,174.05,174.12
1970,4,174.17,174.28
1970,5,174.33,174.36
1970,6,174.38,174.41
1970,7,174.41,174.43
1970,8,174.43,174.38
1970,9,174.31,174.29
1970,10,174.27,174.23
1970,11,174.23,174.2
1970,12,174.2,174.21
1971,1,174.22,174.18
1971,2,174.11,174.15
1971,3,174.24,174.31
1971,4,174.36,174.39
1971,5,174.4,174.44
1971,6,174.46,174.48
1971,7,174.47,174.44
1971,8,174.41,174.38
1971,9,174.39,174.36
1971,10,174.36,174.28
1971,11,174.24,174.16
1971,12,174.15,174.17
1972,1,174.25,174.21
1972,2,174.18,174.2
1972,3,174.21,174.32
1972,4,174.38,174.48
1972,5,174.55,174.61
1972,6,174.6,174.61
1972,7,174.66,174.66
1972,8,174.63,174.61
1972,9,174.58,174.57
1972,10,174.59,174.52
1972,11,174.49,174.57
1972,12,174.57,174.64
1973,1,174.65,174.66
1973,2,174.68,174.67
1973,3,174.62,174.78
1973,4,174.9,174.92
1973,5,174.92,174.91
1973,6,174.92,174.98
1973,7,174.98,174.93
1973,8,174.89,174.84
1973,9,174.78,174.69
1973,10,174.62,174.57
1973,11,174.52,174.46
1973,12,174.47,174.48
1974,1,174.52,174.53
1974,2,174.6,174.63
1974,3,174.66,174.8
1974,4,174.83,174.88
1974,5,174.86,174.92
1974,6,174.92,174.9
1974,7,174.89,174.85
1974,8,174.78,174.76
1974,9,174.68,174.62
1974,10,174.58,174.46
1974,11,174.41,174.43
1974,12,174.46,174.49
1975,1,174.5,174.51
1975,2,174.55,174.55
1975,3,174.64,174.68
1975,4,174.71,174.7
1975,5,174.71,174.71
1975,6,174.72,174.75
1975,7,174.76,174.71
1975,8,174.64,174.65
1975,9,174.73,174.67
1975,10,174.61,174.56
1975,11,174.49,174.46
1975,12,174.4,174.44
1976,1,174.47,174.44
1976,2,174.41,174.45
1976,3,174.63,174.76
1976,4,174.8,174.79
1976,5,174.8,174.8
1976,6,174.8,174.77
1976,7,174.8,174.76
1976,8,174.75,174.7
1976,9,174.62,174.56
1976,10,174.52,174.44
1976,11,174.38,174.26
1976,12,174.17,174.15
1977,1,174.09,174.06
1977,2,174.01,173.99
1977,3,174.05,174.17
1977,4,174.31,174.38
1977,5,174.5,174.5
1977,6,174.45,174.43
1977,7,174.42,174.43
1977,8,174.38,174.4
1977,9,174.36,174.38
1977,10,174.43,174.32
1977,11,174.25,174.23
1977,12,174.21,174.28
1978,1,174.35,174.32
1978,2,174.31,174.28
1978,3,174.25,174.32
1978,4,174.49,174.61
1978,5,174.61,174.64
1978,6,174.63,174.6
1978,7,174.57,174.52
1978,8,174.46,174.42
1978,9,174.35,174.31
1978,10,174.26,174.22
1978,11,174.18,174.15
1978,12,174.09,174.08
1979,1,174.09,174.08
1979,2,174.04,174.04
1979,3,174.07,174.19
1979,4,174.3,174.45
1979,5,174.55,174.55
1979,6,174.6,174.58
1979,7,174.6,174.58
1979,8,174.57,174.55
1979,9,174.53,174.52
1979,10,174.49,174.44
1979,11,174.37,174.34
1979,12,174.37,174.38
1980,1,174.49,174.45
1980,2,174.41,174.38
1980,3,174.38,174.43
1980,4,174.58,174.65
1980,5,174.68,174.67
1980,6,174.66,174.7
1980,7,174.67,174.66
1980,8,174.67,174.7
1980,9,174.66,174.62
1980,10,174.53,174.44
1980,11,174.33,174.3
1980,12,174.25,174.26
1981,1,174.25,174.13
1981,2,174.08,174.14
1981,3,174.29,174.29
1981,4,174.31,174.36
1981,5,174.46,174.49
1981,6,174.5,174.57
1981,7,174.63,174.6
1981,8,174.57,174.54
